INFO 2025-09-11 20:01:34,068 basehttp 24920 8632 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-09-11 20:01:34,070 basehttp 24920 27388 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-09-11 20:01:34,071 basehttp 24920 13788 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2025-09-11 20:01:34,074 basehttp 24920 29656 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-09-11 20:01:34,074 basehttp 24920 8632 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-09-11 20:01:34,087 basehttp 24920 29752 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2025-09-11 20:01:34,099 basehttp 24920 29752 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-09-11 20:01:34,101 basehttp 24920 7648 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2025-09-11 20:01:34,110 basehttp 24920 7648 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-09-11 20:01:38,458 basehttp 24920 7648 "GET /admin/lca_core/lcacalculation/ HTTP/1.1" 200 9088
INFO 2025-09-11 20:01:38,466 basehttp 24920 7648 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:01:46,189 basehttp 24920 7648 "GET /admin/auth/group/ HTTP/1.1" 200 8125
INFO 2025-09-11 20:01:46,195 basehttp 24920 7648 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:01:47,783 basehttp 24920 7648 "GET /admin/auth/user/ HTTP/1.1" 200 11330
INFO 2025-09-11 20:01:47,790 basehttp 24920 7648 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:01:47,796 basehttp 24920 29752 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-09-11 20:01:47,803 basehttp 24920 29752 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-09-11 20:01:48,443 basehttp 24920 29752 "GET /admin/auth/group/add/ HTTP/1.1" 200 12008
INFO 2025-09-11 20:01:48,452 basehttp 24920 13788 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:01:48,455 basehttp 24920 29752 "GET /static/admin/css/forms.css HTTP/1.1" 200 9047
INFO 2025-09-11 20:01:48,459 basehttp 24920 29656 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-09-11 20:01:48,462 basehttp 24920 8632 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2025-09-11 20:01:48,462 basehttp 24920 29752 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
INFO 2025-09-11 20:01:48,462 basehttp 24920 7648 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-09-11 20:01:48,471 basehttp 24920 29752 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-09-11 20:01:48,482 basehttp 24920 29752 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-09-11 20:01:48,483 basehttp 24920 8632 "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-09-11 20:01:48,483 basehttp 24920 7648 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-09-11 20:01:51,983 basehttp 24920 7648 "GET /admin/auth/user/add/ HTTP/1.1" 200 10909
INFO 2025-09-11 20:01:51,990 basehttp 24920 7648 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:01:54,732 basehttp 24920 7648 "GET /admin/lca_core/lcacalculation/add/ HTTP/1.1" 200 13243
INFO 2025-09-11 20:01:54,740 basehttp 24920 7648 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:01:54,745 basehttp 24920 8632 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-09-11 20:02:02,734 basehttp 24920 8632 "GET /admin/lca_core/lcaproject/add/ HTTP/1.1" 200 12634
INFO 2025-09-11 20:02:02,741 basehttp 24920 8632 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:02:07,396 basehttp 24920 8632 "GET /admin/lca_core/lcacalculation/ HTTP/1.1" 200 9088
INFO 2025-09-11 20:02:07,404 basehttp 24920 8632 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:02:08,636 basehttp 24920 8632 "GET /admin/auth/user/ HTTP/1.1" 200 11330
INFO 2025-09-11 20:02:08,644 basehttp 24920 8632 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:02:09,199 basehttp 24920 8632 "GET /admin/auth/ HTTP/1.1" 200 5576
INFO 2025-09-11 20:02:10,529 basehttp 24920 8632 "GET /admin/auth/user/ HTTP/1.1" 200 11330
INFO 2025-09-11 20:02:11,430 basehttp 24920 8632 "GET /admin/auth/group/ HTTP/1.1" 200 8125
INFO 2025-09-11 20:02:11,436 basehttp 24920 8632 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:02:12,871 basehttp 24920 8632 "GET /admin/auth/group/add/ HTTP/1.1" 200 12008
INFO 2025-09-11 20:02:12,878 basehttp 24920 8632 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:02:19,885 basehttp 24920 8632 "GET /admin/auth/group/ HTTP/1.1" 200 8125
INFO 2025-09-11 20:02:19,893 basehttp 24920 8632 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:06:49,476 basehttp 24920 8632 "GET /admin/auth/group/ HTTP/1.1" 200 8125
INFO 2025-09-11 20:06:49,482 basehttp 24920 8632 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,484 basehttp 24920 8632 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,485 basehttp 24920 7648 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,487 basehttp 24920 30048 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,487 basehttp 24920 27496 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,488 basehttp 24920 29800 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,488 basehttp 24920 7648 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,488 basehttp 24920 8632 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,489 basehttp 24920 6328 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-09-11 20:06:49,577 basehttp 24920 27496 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,577 basehttp 24920 7648 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,577 basehttp 24920 30048 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,577 basehttp 24920 8632 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,578 basehttp 24920 6328 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,578 basehttp 24920 29800 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,580 basehttp 24920 6328 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,580 basehttp 24920 29800 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-09-11 20:06:49,582 basehttp 24920 6328 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
